Year,Date,State,GeoRegion,ColonyName,SpeciesCode,Longitude_y,Latitude_y,Nests,Birds
2010,2010-Jun-10,FL,Charlotte Harbor,East Long Key Islet,DCCO,-81.8592,26.3885,0,1
2010,2010-Jun-10,FL,Charlotte Harbor,East Long Key Islet,GBHE,-81.8592,26.3885,3,1
2010,2010-Jun-10,FL,Charlotte Harbor,East Long Key Islet,UNWA,-81.8592,26.3885,0,0
2010,2010-Jun-10,FL,Charlotte Harbor,Estero Preserve Long Island,DCCO,-81.8467,26.3684,1,1
2010,2010-Jun-10,FL,Charlotte Harbor,Estero Preserve Long Island,GBHE,-81.8467,26.3684,3,2
2010,2010-Jun-10,FL,Charlotte Harbor,Gasparilla Sound Spoil Island,BRPE,-82.2462,26.7904,0,130
2010,2010-Jun-10,FL,Charlotte Harbor,Gasparilla Sound Spoil Island,DCCO,-82.2462,26.7904,0,66
2010,2010-Jun-10,FL,Charlotte Harbor,Gasparilla Sound Spoil Island,GBHE,-82.2462,26.7904,4,4
2010,2010-Jun-10,FL,Charlotte Harbor,Gasparilla Sound Spoil Island,GREG,-82.2462,26.7904,53,8
2010,2010-Jun-10,FL,Charlotte Harbor,Givney Key,DCCO,-82.0549,26.5145,52,52
2010,2010-Jun-10,FL,Charlotte Harbor,Givney Key,GBHE,-82.0549,26.5145,11,13
2010,2010-Jun-10,FL,Charlotte Harbor,Givney Key,GREG,-82.0549,26.5145,6,6
2010,2010-Jun-10,FL,Charlotte Harbor,Givney Key,SNEG,-82.0549,26.5145,11,12
2010,2010-Jun-10,FL,Charlotte Harbor,Givney Key,UNWA,-82.0549,26.5145,0,0
2010,2010-Jun-10,FL,Charlotte Harbor,Givney Key,WHIB,-82.0549,26.5145,3,8
2010,2010-Jun-10,FL,Charlotte Harbor,Hemp Key,BRPE,-82.1524,26.6005,147,160
2010,2010-Jun-10,FL,Charlotte Harbor,Hemp Key,DCCO,-82.1524,26.6005,362,386
2010,2010-Jun-10,FL,Charlotte Harbor,Hemp Key,GBHE,-82.1524,26.6005,12,12
2010,2010-Jun-10,FL,Charlotte Harbor,Hemp Key,GREG,-82.1524,26.6005,89,66
2010,2010-Jun-10,FL,Charlotte Harbor,Hemp Key,MAFR,-82.1524,26.6005,0,62
2010,2010-Jun-10,FL,Charlotte Harbor,Hemp Key,SNEG,-82.1524,26.6005,7,9
2010,2010-Jun-10,FL,Charlotte Harbor,Hemp Key,UNWA,-82.1524,26.6005,0,0
2010,2010-Jun-10,FL,Charlotte Harbor,Matanzas Pass Spoil Island,BRPE,-81.95709999999998,26.4609,22,24
2010,2010-Jun-10,FL,Charlotte Harbor,Matanzas Pass Spoil Island,DCCO,-81.95709999999998,26.4609,29,31
2010,2010-Jun-10,FL,Charlotte Harbor,Matanzas Pass Spoil Island,GBHE,-81.95709999999998,26.4609,5,6
2010,2010-Jun-10,FL,Charlotte Harbor,Matanzas Pass Spoil Island,GREG,-81.95709999999998,26.4609,28,31
2010,2010-Jun-10,FL,Charlotte Harbor,Matanzas Pass Spoil Island,SNEG,-81.95709999999998,26.4609,4,7
2010,2010-Jun-10,FL,Charlotte Harbor,Matanzas Pass Spoil Island,TRHE,-81.95709999999998,26.4609,2,3
2010,2010-Jun-10,FL,Charlotte Harbor,Matlacha Pass National Wildlife Refuge,GBHE,-82.0712,26.5592,2,0
2010,2010-Jun-10,FL,Charlotte Harbor,Matlacha Pass National Wildlife Refuge,UNWA,-82.0712,26.5592,0,0
2010,2010-Jun-10,FL,Charlotte Harbor,Okeechobee Waterway Spoil Island,ANHI,-82.025,26.51,1,1
2010,2010-Jun-10,FL,Charlotte Harbor,Okeechobee Waterway Spoil Island,BRPE,-82.025,26.51,54,62
2010,2010-Jun-10,FL,Charlotte Harbor,Okeechobee Waterway Spoil Island,DCCO,-82.025,26.51,48,49
2010,2010-Jun-10,FL,Charlotte Harbor,Okeechobee Waterway Spoil Island,GBHE,-82.025,26.51,13,13
2010,2010-Jun-10,FL,Charlotte Harbor,Okeechobee Waterway Spoil Island,GREG,-82.025,26.51,43,40
2010,2010-Jun-10,FL,Charlotte Harbor,Okeechobee Waterway Spoil Island,SNEG,-82.025,26.51,3,3
2010,2010-Jun-10,FL,Charlotte Harbor,Okeechobee Waterway Spoil Island,TRHE,-82.025,26.51,4,4
2010,2010-Jun-10,FL,Charlotte Harbor,Okeechobee Waterway Spoil Island,UNWA,-82.025,26.51,0,0
2010,2010-Jun-10,FL,Charlotte Harbor,Okeechobee Waterway Spoil Island,WHIB,-82.025,26.51,60,60
2010,2010-Jun-10,FL,Charlotte Harbor,Ostego Bay Islet North,BRPE,-81.89329999999998,26.4243,69,87
2010,2010-Jun-10,FL,Charlotte Harbor,Ostego Bay Islet North,DCCO,-81.89329999999998,26.4243,6,8
2010,2010-Jun-10,FL,Charlotte Harbor,Ostego Bay Islet North,GBHE,-81.89329999999998,26.4243,2,2
2010,2010-Jun-10,FL,Charlotte Harbor,Ostego Bay Islet North,GREG,-81.89329999999998,26.4243,104,80
2010,2010-Jun-10,FL,Charlotte Harbor,Ostego Bay Islet North,MAFR,-81.89329999999998,26.4243,0,115
2010,2010-Jun-10,FL,Charlotte Harbor,Ostego Bay Islet North,SNEG,-81.89329999999998,26.4243,3,3
2010,2010-Jun-10,FL,Charlotte Harbor,Ostego Bay Islet South,BRPE,-81.8953,26.4226,0,2
2010,2010-Jun-10,FL,Charlotte Harbor,Ostego Bay Islet South,DCCO,-81.8953,26.4226,6,6
2010,2010-Jun-10,FL,Charlotte Harbor,Ostego Bay Islet South,GBHE,-81.8953,26.4226,8,5
2010,2010-Jun-10,FL,Charlotte Harbor,Ostego Bay Islet South,GREG,-81.8953,26.4226,0,1
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 1,BRPE,-82.11239999999998,26.4979,43,67
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 1,DCCO,-82.11239999999998,26.4979,32,38
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 1,GBHE,-82.11239999999998,26.4979,3,1
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 1,GREG,-82.11239999999998,26.4979,13,12
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 1,LBHE,-82.11239999999998,26.4979,1,1
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 1,MAFR,-82.11239999999998,26.4979,0,185
2010,2010-Jun-10,FL,Charlotte Harbor,Pine Island Sound 1,SNEG,-82.11239999999998,26.4979,5,7
